id,title,filtered_words,label
R129,New Report on Election,morning instead ground challenge. sense office man available stock. move peace ready. experts discuss ongoing developments election.,REAL
R227,New Report on Climate Change,five tonight fast. create meeting ground season. style future me. soldier experience late specific push. experts discuss ongoing developments climate change.,REAL
F231,Aliens Confirmed by Sources,number yes decision into. together cell popular notice. son offer hospital sport land. attack notice thus garden. — shocking claims aliens surface internet.,FAKE
R066,New Report on Policy,always issue student bank. describe natural recently. away message others food. experts discuss ongoing developments policy.,REAL
F095,Mind Control Confirmed by Sources,opportunity peace experience note whose unit pattern. night indicate data white. model instead animal east day. pay budget minute administration low. — shocking claims mind control surface internet.,FAKE
R174,New Report on Policy,mother play truth push. entire ten rest identify peace quite pattern. experts discuss ongoing developments policy.,REAL
R201,New Report on Public Health,group old claim appear hand fast. western simple gun magazine effect stay. instead change part production including. experts discuss ongoing developments public health.,REAL
R072,New Report on Education,network try decision place smile animal wish. night agree republican. eye may soldier instead right. experts discuss ongoing developments education.,REAL
R064,New Report on Research,since happen civil language report effort. traditional economic state improve mouth. experts discuss ongoing developments research.,REAL
F037,Miracle Drug Confirmed by Sources,certainly represent else knowledge. party compare animal former. science seat majority final feeling. — shocking claims miracle drug surface internet.,FAKE
R170,New Report on Technology Breakthrough,certain less size tough like central direction. care offer defense factor. campaign many minute season. experts discuss ongoing developments technology breakthrough.,REAL
F110,Celebrity Scandal Confirmed by Sources,less treat heart matter finish trial reason we. relate rather fight. — shocking claims celebrity scandal surface internet.,FAKE
F048,Secret Cure Confirmed by Sources,real modern third. — shocking claims secret cure surface internet.,FAKE
F082,Hoax Confirmed by Sources,practice assume send painting modern glass. paper bed consumer social information. hospital similar feel place less. — shocking claims hoax surface internet.,FAKE
F187,Miracle Drug Confirmed by Sources,significant administration executive choice. modern story reveal article activity live old. allow appear financial gas build heart. — shocking claims miracle drug surface internet.,FAKE
F027,Miracle Drug Confirmed by Sources,cost left call scientist current. american red perhaps test. vote part read. — shocking claims miracle drug surface internet.,FAKE
