id,filtered_words,features,label_index
R129,morning instead ground challenge. sense office man available stock. move peace ready. experts discuss ongoing developments election.,"(10000,[2475,2569,3160,3556,3614,3978,4506,4527,4644,4687,5447,6282,6487,6697,8172,8344,9462],[4.019381523748645,4.019381523748645,4.270695952029551,2.7826188965997183,0.6871770135734415,4.607168188650764,0.691153161953081,4.019381523748645,4.607168188650764,0.6832166123573445,3.6516567436233283,4.137164559405029,3.4440173788450834,3.4440173788450834,5.117993812416755,4.137164559405029,0.691153161953081])",1.0
R227,five tonight fast. create meeting ground season. style future me. soldier experience late specific push. experts discuss ongoing developments climate change.,"(10000,[20,821,1404,2059,3079,3389,3614,3635,4141,4506,4687,4831,5177,5974,6487,6488,7074,7140,8000,9462],[4.270695952029551,2.849310271098391,4.137164559405029,5.501740396570277,4.270695952029551,4.830311739964974,0.6871770135734415,3.914021008090819,4.137164559405029,0.691153161953081,0.6832166123573445,4.830311739964974,4.830311739964974,3.4440173788450834,3.4440173788450834,4.270695952029551,3.2208738275308737,4.830311739964974,4.137164559405029,0.691153161953081])",1.0
F231,number yes decision into. together cell popular notice. son offer hospital sport land. attack notice thus garden. — shocking claims aliens surface internet.,"(10000,[209,442,503,650,1525,2193,2958,3210,4930,5044,5684,5693,5850,6148,7281,7366,7432,7936,8278,8312,8338,8519,9123],[4.019381523748645,4.830311739964974,0.691153161953081,2.958509563063383,4.019381523748645,4.270695952029551,3.914021008090819,4.607168188650764,4.270695952029551,3.8187108282864943,4.019381523748645,4.137164559405029,0.691153161953081,4.270695952029551,0.6792718340663283,4.830311739964974,5.523458920524919,0.691153161953081,4.019381523748645,4.42484663185681,0.691153161953081,4.830311739964974,4.830311739964974])",0.0
R066,always issue student bank. describe natural recently. away message others food. experts discuss ongoing developments policy.,"(10000,[1031,2715,3536,3614,3737,4085,4506,4687,4988,6616,6940,6944,7085,9011,9462,9615],[4.830311739964974,3.914021008090819,3.914021008090819,0.6871770135734415,4.607168188650764,5.117993812416755,0.691153161953081,0.6832166123573445,4.270695952029551,4.019381523748645,3.7316994512968646,2.7826188965997183,4.137164559405029,4.270695952029551,0.691153161953081,5.523458920524919])",1.0
F095,opportunity peace experience note whose unit pattern. night indicate data white. model instead animal east day. pay budget minute administration low. — shocking claims mind control surface internet.,"(10000,[503,1208,1695,1842,3184,3357,3635,4527,4897,4991,5185,5850,6335,6485,6576,6697,6869,6877,6976,7102,7281,7360,7936,8326,8338,8546,9539,9909],[0.691153161953081,2.8844015909096608,4.137164559405029,5.117993812416755,2.8154087194227095,4.137164559405029,3.914021008090819,4.019381523748645,4.42484663185681,2.6330871626287546,3.4440173788450834,0.691153161953081,3.7316994512968646,4.607168188650764,3.914021008090819,3.4440173788450834,4.270695952029551,5.523458920524919,3.8187108282864943,4.270695952029551,0.6792718340663283,3.8187108282864943,0.691153161953081,4.607168188650764,0.691153161953081,5.117993812416755,3.7316994512968646,4.42484663185681])",0.0
R174,mother play truth push. entire ten rest identify peace quite pattern. experts discuss ongoing developments policy.,"(10000,[354,2069,2173,2708,3614,3967,4506,4687,5085,6056,6697,6944,7074,8326,8824,9462],[4.137164559405029,4.270695952029551,4.137164559405029,3.6516567436233283,0.6871770135734415,4.830311739964974,0.691153161953081,0.6832166123573445,3.5085558999826545,3.914021008090819,3.4440173788450834,2.7826188965997183,3.2208738275308737,4.607168188650764,4.607168188650764,0.691153161953081])",1.0
R201,group old claim appear hand fast. western simple gun magazine effect stay. instead change part production including. experts discuss ongoing developments public health.,"(10000,[387,524,1770,2913,3423,3614,4506,4527,4687,4831,6219,6324,7083,7766,8182,8313,8353,8413,8740,8888,8937,9462,9766],[4.019381523748645,3.577548771469606,2.920769235080536,3.914021008090819,4.137164559405029,0.6871770135734415,0.691153161953081,4.019381523748645,0.6832166123573445,4.830311739964974,3.0811118851557153,4.607168188650764,4.270695952029551,4.270695952029551,3.8187108282864943,4.137164559405029,3.8187108282864943,3.6516567436233283,4.137164559405029,5.523458920524919,5.117993812416755,0.691153161953081,4.830311739964974])",1.0
R072,network try decision place smile animal wish. night agree republican. eye may soldier instead right. experts discuss ongoing developments education.,"(10000,[812,1341,2193,2660,2713,3614,4141,4506,4527,4687,4693,5047,5966,6390,6869,6925,7360,9152,9160,9462],[4.830311739964974,4.830311739964974,4.270695952029551,5.117993812416755,4.270695952029551,0.6871770135734415,4.137164559405029,0.691153161953081,4.019381523748645,0.6832166123573445,4.830311739964974,2.6902455764687034,4.830311739964974,4.019381523748645,4.270695952029551,4.830311739964974,3.8187108282864943,3.914021008090819,4.830311739964974,0.691153161953081])",1.0
R064,since happen civil language report effort. traditional economic state improve mouth. experts discuss ongoing developments research.,"(10000,[593,1716,1808,2408,2912,3283,3614,4486,4506,4687,4704,6287,6505,7066,9144,9462],[4.270695952029551,3.8187108282864943,3.914021008090819,3.914021008090819,5.117993812416755,5.117993812416755,0.6871770135734415,3.914021008090819,0.691153161953081,0.6832166123573445,4.607168188650764,3.914021008090819,4.270695952029551,2.8154087194227095,2.7200985396183848,0.691153161953081])",1.0
F037,certainly represent else knowledge. party compare animal former. science seat majority final feeling. — shocking claims miracle drug surface internet.,"(10000,[47,503,673,1256,1379,1653,3363,5034,5643,5850,6805,7281,7360,7860,7936,8338,8717,9244,9246,9401],[4.019381523748645,0.691153161953081,4.42484663185681,3.125563647726549,4.830311739964974,4.137164559405029,4.270695952029551,4.830311739964974,5.523458920524919,0.691153161953081,5.117993812416755,0.6792718340663283,3.8187108282864943,2.958509563063383,0.691153161953081,0.691153161953081,4.607168188650764,4.019381523748645,5.117993812416755,5.523458920524919])",0.0
